Frecuencia [kHz],Amplitud recibidas [mVpp],Escala [mV],Error del promedio [mV]
35.00,2.0,2,0.5
36.00,9.3,2,0.1
37.00,31.6,5,0.2
38.00,133.0,20,1
39.00,480.0,100,2
39.2,734.0,100,2
39.4,1100.0,200,10
39.6,1610.0,500,10
39.8,2200.0,500,0
39.90,2490.0,500,10
40.00,2700.0,500,0
40.1,2840.0,500,0
40.2,2880.0,500,20
40.25,2880.0,500,20
40.3,2882.0,500,2
40.35,2780.0,500,0
40.4,2700.0,500,20
40.6,2400.0,500,20
40.8,2040.0,500,20
41.00,1700.0,500,0
41.20,1400.0,200,10
41.50,1080.0,200,5
42.00,684.0,100,0
43.00,374.0,50,2
44.00,278.0,50,4
45.00,224.0,50,
46.00,108.0,20,1
47.00,52.0,10,1
48.00,26.4,5,0.6
49.00,17,5,0.2
50.00,22.4,5,0.3
