Ángulo [°],primer intento,Fase 1 [μseg],va de nuevo,VA DE NUEVO 2,Fase [μseg]
-10,1.330732,5.2,,1.638653344,6.4
-15,0.921276,3.6,,1.843485012,7.2
-20,0.716548,2.8,,1.843485012,7.2
-25,0.614184,2.4,,1.53623751,6
-30,0.51182,2,,1.228990008,4.8
-35,0.716548,2.8,,1.126574174,4.4
-40,0.409456,1.6,,0.921742506,3.6
-45,0.818912,3.2,,0.614495004,2.4
-5,1.53546,6,2.4,1.53623751,6
-50,0.818912,3.2,,0.307247502,1.2
-55,0.716548,2.8,,0.102415834,0.4
-60,0.614184,2.4,,0,0
-65,0.614184,2.4,,-0.307247502,-1.2
-70,0.614184,2.4,,-0.409663336,-1.6
-75,0.51182,2,,-0.409663336,-1.6
-80,0.307092,1.2,,-0.51207917,-2
-85,0.409456,1.6,,-0.921742506,-3.6
-90,0.409456,1.6,,-1.228990008,-4.8
0,0.716548,2.8,4,1.638653344,6.4
10,1.330732,5.2,5.6,2.253148348,8.8
15,1.53546,6,6,2.457980016,9.6
20,1.740188,6.8,6.4,2.662811684,10.4
25,1.842552,7.2,7.2,2.765227518,10.8
30,1.944916,7.6,7.2,2.867643352,11.2
35,1.944916,7.6,6.4,2.970059186,11.6
40,1.842552,7.2,6,2.970059186,11.6
45,1.944916,7.6,6.4,2.970059186,11.6
5,1.02364,4,4.4,2.04831668,8
50,2.04728,8,6.4,2.970059186,11.6
55,2.04728,8,6.8,3.07247502,12
60,2.04728,8,6.8,3.174890854,12.4
65,2.04728,8,7.2,3.174890854,12.4
70,2.04728,8,7.2,3.07247502,12
75,1.944916,7.6,,3.07247502,12
80,1.944916,7.6,,2.970059186,11.6
85,1.944916,7.6,,2.867643352,11.2
90,2.04728,8,,2.457980016,9.6
