Posición del receptor [mm],Amplitud 1 [mVpp],Fase 1 [useg],Error 1 [mVpp],Amplitud 2 [mVpp],Fase 2 [useg],Error 2 [mVpp],Escala,Amplitud 12 [mVpp],Fase 12 [useg],Error 12 [mVpp],Escala 12 [mVpp]
298.0,58.0,50.4,2.0,66.0,45.2,2.0,10.0,88.0,47.2,4.0,10.0
302.0,52.0,2.4,2.0,60.0,43.2,2.0,10.0,49.0,48.4,2.0,10.0
306.0,54.0,54.4,2.0,63.0,43.6,1.0,10.0,15.0,48.0,4.0,2.0
310.0,58.0,56.4,2.0,55.0,67.6,2.0,10.0,22.0,62.4,2.0,5.0
314.0,60.0,58.0,1.0,65.0,66.0,2.0,10.0,62.0,62.4,2.0,10.0
318.0,60.0,60.0,1.0,55.0,65.2,2.0,10.0,86.0,62.4,2.0,20.0
322.0,64.0,60.8,1.0,59.0,64.0,1.0,10.0,112.0,62.8,2.0,20.0
326.0,75.0,62.8,2.0,58.0,63.2,2.0,10.0,132.0,63.2,1.0,20.0
330.0,71.0,64.0,2.0,63.0,62.0,2.0,10.0,128.0,63.0,2.0,20.0
334.0,72.0,64.8,2.0,64.0,60.4,1.0,10.0,108.0,62.4,2.0,20.0
338.0,65.0,58.8,1.0,65.0,58.8,1.0,10.0,82.0,62.8,2.0,20.0
342.0,80.0,67.2,3.0,62.0,57.6,1.0,10.0,56.0,63.2,2.0,10.0
346.0,76.0,67.2,2.0,59.0,56.4,1.0,10.0,20.0,65.2,4.0,5.0
350.0,72.0,45.2,1.0,52.0,54.8,1.0,10.0,32.0,47.2,2.0,5.0
354.0,69.0,45.6,2.0,55.0,52.4,2.0,10.0,73.0,48.4,1.0,10.0
358.0,67.0,45.2,2.0,63.0,50.4,1.0,10.0,104.0,48.4,1.0,20.0
362.0,75.0,46.0,2.0,62.0,48.8,1.0,10.0,122.0,47.2,2.0,20.0
366.0,76.0,46.4,1.0,59.0,46.4,2.0,10.0,132.0,46.8,1.0,20.0
370.0,78.0,46.8,2.0,64.0,44.0,2.0,10.0,127.0,45.6,2.0,20.0
374.0,79.0,47.2,1.0,72.0,42.0,2.0,10.0,113.0,44.8,2.0,20.0
378.0,75.0,46.8,1.0,67.0,39.6,1.0,10.0,83.0,43.6,1.0,20.0
380.0,74.0,46.8,2.0,66.0,42.4,2.0,10.0,69.0,42.8,1.0,10.0
382.0,73.0,46.8,2.0,70.0,37.6,1.0,10.0,50.0,41.2,2.0,10.0
386.0,68.0,47.2,1.0,67.0,35.0,1.0,10.0,6.0,38.8,4.0,2.0
390.0,73.0,22.4,1.0,68.0,32.4,2.0,10.0,20.0,28.0,5.0,5.0
394.0,67.0,22.0,2.0,62.0,30.8,1.0,10.0,55.0,26.0,2.0,10.0
398.0,64.0,21.2,1.0,62.0,28.0,1.0,10.0,82.0,25.2,2.0,20.0
402.0,71.0,21.2,1.0,63.0,25.6,1.0,10.0,110.0,23.6,1.0,20.0
406.0,67.0,20.4,1.0,60.0,22.8,1.0,10.0,118.0,22.0,1.0,20.0
410.0,68.0,20.0,2.0,54.0,20.0,1.0,10.0,119.0,20.0,1.0,20.0
414.0,60.0,20.0,2.0,54.0,16.8,1.0,10.0,100.0,18.4,2.0,20.0
418.0,64.0,18.8,2.0,55.0,14.0,1.0,10.0,91.0,16.4,1.0,20.0
422.0,57.0,16.0,1.0,48.0,6.8,1.0,10.0,35.0,12.4,1.0,5.0
426.0,60.0,16.4,1.0,50.0,7.2,0.8,10.0,42.0,12.0,1.0,10.0
430.0,55.0,14.4,0.8,50.0,3.6,1.0,10.0,8.0,10.8,1.0,2.0
