Posición [mm],Voltaje [V],Intensidad [lx],sd,Error intens
8.5,0.91,35000.0,12.195014,0.001938998347
9.0,0.909,34900.0,11.440265,0.001878037801
9.2,0.916,35200.0,11.219268,0.001859809871
9.4,0.882,33900.0,11.101584,0.001850029961
9.6,0.779,29900.0,11.38637,0.001873608868
9.75,0.637,24500.0,8.6228,0.001630461107
9.8,0.581,22300.0,9.63071,0.00172311967
9.9,0.459,17600.0,9.406113,0.001702908774
10.0,0.352,13500.0,8.958586,0.001661904335
10.1,0.241,9270.0,7.339466,0.001504244799
10.2,0.156,5980.0,5.822701,0.001339826403
10.3,0.0893,3430.0,6.339316,0.001398001018
10.4,0.0432,1660.0,5.369097,0.001286580344
10.5,0.0193,743.0,5.793563,0.001336469814
11.0,0.000739,28.4,3.706128,0.001068923179
