Ángulo rotado [deg],Ángulo rotado [rad],Cos^2,Voltaje [V],Intensidad [lx],Error [lx],Error [V]
0.0,0.1745329252,0.9698463104,0.30689,11792.0,9.0339,0.00023511
5.0,0.2617993878,0.9330127019,0.2953,11347.0,9.7533,0.00025383
10.0,0.3490658504,0.8830222216,0.2815,10816.0,9.0471,0.00023545
15.0,0.436332313,0.8213938048,0.26037,10004.0,7.1823,0.00018692
20.0,0.5235987756,0.75,0.23661,9091.6,6.7307,0.00017517
25.0,0.6108652382,0.6710100717,0.21158,8129.6,6.0692,0.00015795
30.0,0.6981317008,0.5868240888,0.1852,7116.2,5.5547,0.00014456
35.0,0.7853981634,0.5,0.15777,6062.3,5.5158,0.00014355
40.0,0.872664626,0.4131759112,0.13089,5029.2,10.689,0.00027818
45.0,0.9599310886,0.3289899283,0.10423,4004.9,5.0506,0.00013144
50.0,1.047197551,0.25,0.081583,3134.8,4.5752,0.00011907
55.0,1.134464014,0.1786061952,0.055338,2126.3,4.9551,0.00012896
60.0,1.221730476,0.1169777784,0.034285,1317.4,5.024,0.00013075
65.0,1.308996939,0.06698729811,0.020687,794.86,4.4142,0.00011488
70.0,1.396263402,0.03015368961,0.007911,303.97,4.6539,0.00012112
75.0,1.483529864,0.007596123494,0.0011761,45.19,4.6788,0.00012177
80.0,1.570796327,0.0,0.00068769,26.424,4.1455,0.00010789
85.0,1.658062789,0.007596123494,0.00089333,34.325,4.5905,0.00011947
90.0,1.745329252,0.03015368961,0.009042,347.43,4.3395,0.00011294
