Distancia [px],Intensidad
0,1.667
1,1.000
2,0.333
3,1.000
4,1.000
5,1.000
6,1.000
7,1.000
8,1.000
9,1.000
10,1.000
11,1.000
12,1.000
13,1.000
14,1.000
15,1.000
16,1.000
17,1.000
18,1.000
19,1.741
20,1.852
21,1.852
22,1.852
23,1.889
24,1.889
25,1.889
26,1.889
27,2.000
28,2.000
29,2.000
30,2.185
31,2.074
32,2.074
33,2.111
34,2.000
35,1.889
36,2.185
37,3.185
38,4.630
39,5.481
40,6.074
41,6.556
42,6.778
43,9.259
44,13.333
45,20.296
46,45.519
47,87.778
48,116.519
49,118.333
50,110.370
51,100.074
52,88.185
53,82.259
54,83.370
55,88.630
56,94.704
57,90.259
58,74.111
59,46.889
60,28.074
61,11.963
62,3.111
63,2.185
64,5.444
65,5.963
66,3.222
67,2.259
68,2.000
69,2.000
70,1.778
71,1.667
72,1.667
73,1.444
74,1.222
75,0.889
76,1.000
77,1.000
78,1.000
79,1.000
80,1.000
81,1.000
82,1.000
83,1.481
84,1.667
85,1.667
86,1.667
87,1.667
88,1.667
89,1.667
90,1.667
91,1.889
92,1.889
93,1.667
94,1.667
95,1.333
96,1.111
97,1.111
98,1.111
99,1.444
100,1.667
101,1.667
102,1.667
103,1.667
104,1.667
105,1.667
106,1.667
107,1.667
108,1.667
109,1.667
110,1.667
111,1.667
112,1.667
113,1.667
114,1.667
115,1.667
116,1.667
117,1.667
118,1.667
119,1.667
120,1.667
121,1.667
122,1.667
123,1.667
124,1.667
125,1.667
126,1.667
127,1.667
128,1.667
129,1.667
130,1.667
131,1.667
132,1.667
133,1.667
134,1.667
135,1.667
136,1.667
137,1.667
138,1.667
139,1.667
140,1.667
141,1.667
142,1.667
143,1.667
144,1.667
145,1.667
146,1.667
147,1.296
148,1.037
149,1.037
150,1.037
151,1.037
152,1.074
153,1.074
154,1.074
155,1.074
156,1.074
157,1.074
158,1.074
159,1.111
160,1.111
161,1.111
162,1.111
163,1.074
164,1.000
165,1.000
166,1.000
167,1.000
168,1.000
169,1.000
170,1.000
171,1.000
172,1.000
173,1.000
174,1.000
175,1.000
176,1.000
177,1.000
178,1.000
179,1.000
180,1.000
181,1.000
182,1.000
183,1.000
184,1.000
185,1.000
186,1.000
187,1.000
188,1.000
189,1.000
190,1.000
191,1.000
192,1.000
193,1.000
194,1.000
195,1.074
196,1.296
197,1.296
198,1.296
199,1.296
200,1.296
201,1.296
202,1.333
203,1.333
204,1.333
205,1.333
206,1.333
207,1.333
208,1.333
209,1.370
210,1.370
211,1.370
212,1.370
213,1.370
214,1.370
215,1.370
216,1.370
217,1.407
218,1.407
219,1.407
220,1.407
221,1.407
222,1.407
223,1.407
224,1.444
225,1.444
226,1.444
227,1.556
228,1.667
229,1.667
230,1.667
231,1.667
232,1.667
233,1.667
234,1.667
235,1.667
236,1.667
237,1.667
238,1.667
239,1.667
240,1.667
241,1.667
242,1.667
243,1.667
244,1.667
245,1.667
246,1.667
247,1.667
248,1.667
249,1.667
250,1.667
251,1.667
252,1.667
253,1.667
254,1.667
255,1.667
256,1.667
257,1.667
258,1.667
259,1.667
260,1.667
261,1.667
262,1.667
263,1.667
264,1.667
265,1.667
266,1.667
267,1.667
268,1.667
269,1.667
270,1.667
271,1.667
272,1.667
273,1.667
274,1.667
275,1.815
276,2.000
277,2.000
278,2.000
279,2.000
280,2.000
281,2.000
282,2.000
283,2.000
284,2.000
285,2.000
286,2.000
287,2.000
288,2.000
289,2.000
290,2.000
291,2.000
292,2.000
293,2.000
294,2.000
295,2.000
296,2.000
297,2.000
298,2.000
299,2.000
300,1.556
301,1.556
302,2.000
303,2.000
304,2.000
305,2.667
306,2.556
307,2.556
308,2.333
309,2.333
310,2.333
311,2.333
312,2.333
313,2.333
314,2.333
315,2.333
316,2.778
317,2.778
318,2.778
319,2.778
320,2.778
321,2.889
322,2.889
323,3.111
324,4.296
325,4.333
326,4.333
327,4.333
328,4.333
329,4.333
330,4.333
331,4.333
332,4.333
333,4.333
334,4.333
335,4.333
336,4.333
337,4.333
338,4.333
339,4.333
340,4.778
341,4.815
342,4.926
343,4.963
344,5.000
345,5.000
346,5.333
347,5.407
348,6.593
349,6.741
350,7.000
351,7.074
352,7.259
353,7.296
354,7.407
355,8.000
356,9.778
357,11.593
358,12.852
359,14.815
360,17.111
361,19.407
362,21.370
363,23.926
364,27.519
365,30.148
366,33.222
367,36.519
368,40.037
369,43.074
370,45.630
371,48.741
372,53.481
373,56.037
374,57.963
375,58.963
376,60.778
377,62.778
378,64.481
379,65.222
380,66.667
381,67.296
382,67.519
383,67.815
384,67.852
385,68.185
386,68.556
387,68.778
388,68.630
389,67.519
390,67.000
391,66.000
392,65.741
393,65.926
394,65.741
395,65.963
396,64.926
397,64.222
398,62.852
399,61.370
400,59.667
401,58.519
402,57.593
403,56.111
404,53.037
405,51.444
406,50.556
407,49.185
408,47.704
409,46.333
410,45.259
411,44.148
412,43.074
413,43.704
414,44.296
415,44.296
416,44.222
417,44.407
418,46.000
419,46.259
420,46.074
421,46.296
422,47.815
423,49.333
424,50.074
425,50.630
426,51.630
427,52.630
428,53.148
429,53.741
430,55.481
431,56.926
432,58.259
433,58.704
434,58.963
435,58.667
436,59.741
437,59.778
438,60.074
439,60.148
440,60.148
441,60.222
442,60.370
443,59.963
444,60.222
445,60.333
446,60.519
447,60.444
448,59.815
449,58.815
450,58.593
451,58.000
452,58.852
453,59.074
454,59.148
455,58.630
456,57.815
457,57.407
458,57.778
459,58.185
460,56.667
461,56.481
462,56.667
463,56.741
464,56.148
465,54.815
466,53.481
467,52.519
468,51.778
469,52.630
470,52.852
471,52.333
472,50.593
473,48.963
474,47.815
475,47.481
476,47.481
477,47.519
478,47.704
479,48.407
480,49.963
481,52.333
482,54.926
483,57.296
484,55.815
485,55.556
486,55.852
487,55.852
488,55.556
489,55.704
490,56.667
491,58.259
492,57.593
493,58.148
494,59.222
495,59.815
496,59.296
497,58.444
498,57.630
499,57.407
500,57.037
501,56.556
502,56.778
503,56.259
504,55.444
505,54.222
506,53.074
507,52.741
508,52.667
509,51.556
510,50.222
511,49.185
512,49.296
513,48.852
514,47.704
515,46.296
516,44.667
517,44.148
518,44.333
519,44.296
520,44.185
521,43.111
522,42.222
523,41.333
524,40.444
525,39.370
526,38.407
527,36.667
528,35.000
529,33.667
530,32.593
531,31.630
532,29.444
533,27.778
534,27.333
535,26.407
536,25.704
537,24.741
538,24.481
539,24.259
