Longitud de onda [nm];Intensidad
1.934625244e+02;5.562767852e-03
1.936655121e+02;3.786986927e-03
1.938684998e+02;5.993260071e-03
1.940715179e+02;7.284737192e-03
1.942745514e+02;4.621065687e-03
1.944776001e+02;3.248871537e-03
1.946806641e+02;5.697296467e-03
1.948837433e+02;7.150208112e-03
1.950868378e+02;7.930475287e-03
1.952899628e+02;4.917029291e-03
1.954930878e+02;6.073977333e-03
1.956962280e+02;5.804919638e-03
1.958993835e+02;7.822852582e-03
1.961025696e+02;4.136762116e-03
1.963057556e+02;5.643485114e-03
1.965089722e+02;4.701782949e-03
1.967122040e+02;8.226439357e-03
1.969154358e+02;6.208506413e-03
1.971186981e+02;6.719715893e-03
1.973219757e+02;5.535861943e-03
1.975252533e+02;5.697296467e-03
1.977285614e+02;6.477564108e-03
1.979318848e+02;6.127789151e-03
1.981352234e+02;3.679363988e-03
1.983385773e+02;4.782500677e-03
1.985419464e+02;3.786986927e-03
1.987453461e+02;6.181600504e-03
1.989487457e+02;5.455144681e-03
1.991521606e+02;4.190573469e-03
1.993555908e+02;4.190573469e-03
1.995590515e+02;4.997746553e-03
1.997625122e+02;3.464117879e-03
1.999660034e+02;4.136762116e-03
2.001694946e+02;4.056044854e-03
2.003730164e+02;6.423752289e-03
2.005765533e+02;4.647971597e-03
2.007800903e+02;5.105369724e-03
2.009836578e+02;4.728688858e-03
2.011872406e+02;6.719715893e-03
2.013908386e+02;5.751108285e-03
2.015944519e+02;5.724202376e-03
2.017980804e+02;8.038098924e-03
2.020017242e+02;5.159181077e-03
2.022053833e+02;4.943935201e-03
2.024090576e+02;7.096396759e-03
2.026127472e+02;5.078463815e-03
2.028164520e+02;6.369940937e-03
2.030201721e+02;6.531375460e-03
2.032239227e+02;6.020165980e-03
2.034276733e+02;4.082950298e-03
2.036314545e+02;7.177114021e-03
2.038352356e+02;5.697296467e-03
2.040390472e+02;6.638998631e-03
2.042428589e+02;5.804919638e-03
2.044467010e+02;6.881150417e-03
2.046505585e+02;4.163668025e-03
2.048544159e+02;6.208506413e-03
2.050583038e+02;4.325102549e-03
2.052622070e+02;6.235411856e-03
2.054661255e+02;6.665904541e-03
2.056700592e+02;7.123302203e-03
2.058740082e+02;5.562767852e-03
2.060779724e+02;6.423752289e-03
2.062819519e+02;5.751108285e-03
2.064859467e+02;8.710742928e-03
2.066899567e+02;6.504469551e-03
2.068939972e+02;6.073977333e-03
2.070980377e+02;2.576227300e-03
2.073020935e+02;3.033625428e-03
2.075061798e+02;3.921515774e-03
2.077102661e+02;5.186086986e-03
2.079143677e+02;5.804919638e-03
2.081184998e+02;7.769040763e-03
2.083226471e+02;4.244385287e-03
2.085267944e+02;5.616579205e-03
2.087309723e+02;6.127789151e-03
2.089351654e+02;6.531375460e-03
2.091393585e+02;3.975327592e-03
2.093435822e+02;6.477564108e-03
2.095478210e+02;3.356494708e-03
2.097520752e+02;5.670391023e-03
2.099563446e+02;5.616579205e-03
2.101606293e+02;5.751108285e-03
2.103649292e+02;1.795960125e-03
2.105692444e+02;6.612092722e-03
2.107735748e+02;2.253358252e-03
2.109779205e+02;7.553794887e-03
2.111822815e+02;5.885636900e-03
2.113866730e+02;6.100883242e-03
2.115910645e+02;5.804919638e-03
2.117954712e+02;6.585186813e-03
2.119999084e+02;4.109856207e-03
2.122043457e+02;5.320616066e-03
2.124088135e+02;6.638998631e-03
2.126132813e+02;5.428238772e-03
2.128177795e+02;3.302683122e-03
2.130222778e+02;7.177114021e-03
2.132268066e+02;3.760081250e-03
2.134313507e+02;5.132275634e-03
2.136359100e+02;4.486537073e-03
