Distance_(pixels),Gray_Value
0,1.0000
1,1.0000
2,1.0000
3,0.9259
4,1.0000
5,1.1852
6,1.1852
7,1.1852
8,1.1852
9,1.1481
10,1.1481
11,1.8148
12,1.9259
13,1.9259
14,1.9259
15,1.9259
16,1.9259
17,1.9630
18,1.9630
19,2.0000
20,2.0000
21,2.0000
22,2.0000
23,2.0000
24,2.0000
25,2.0000
26,2.0000
27,2.1111
28,2.1111
29,2.1111
30,2.0741
31,2.0741
32,2.0741
33,2.0741
34,2.0741
35,2.8148
36,2.3704
37,3.7407
38,4.8519
39,4.0741
40,3.8889
41,7.8519
42,14.7407
43,29.3333
44,50.1481
45,65.6667
46,68.1481
47,63.1852
48,52.1111
49,42.5185
50,40.0741
51,39.3333
52,40.2963
53,43.3704
54,42.7778
55,36.6296
56,25.2222
57,14.1852
58,7.0370
59,2.7037
60,1.4815
61,1.1481
62,0.6667
63,0.8889
64,1.0000
65,0.7037
66,0.6667
67,0.9630
68,1.0000
69,1.0000
70,1.0000
71,1.0000
72,1.0000
73,1.0000
74,1.0000
75,1.0000
76,1.0000
77,1.0000
78,1.0000
79,1.0000
80,1.0000
81,1.0000
82,1.0000
83,1.0000
84,1.0000
85,1.0000
86,1.0000
87,1.0000
88,1.0000
89,1.0000
90,1.0000
91,1.0000
92,1.0000
93,1.0000
94,1.0000
95,1.0000
96,1.0000
97,1.0000
98,1.0000
99,1.0000
100,1.0000
101,1.0000
102,1.0000
103,1.0000
104,1.0000
105,1.0000
106,1.0000
107,1.0000
108,1.0000
109,1.0000
110,1.0000
111,1.0000
112,1.0000
113,1.0000
114,1.0000
115,1.0000
116,1.0000
117,1.0000
118,1.0000
119,1.0000
120,1.0000
121,1.0000
122,1.0000
123,1.0000
124,1.0000
125,1.0000
126,1.0000
127,1.0000
128,1.0000
129,1.0000
130,1.0000
131,1.0000
132,1.0000
133,1.0000
134,1.0000
135,1.0000
136,1.0000
137,1.0000
138,1.0000
139,1.0000
140,1.0000
141,1.0000
142,1.0000
143,1.0000
144,1.0000
145,1.0000
146,1.0000
147,1.0000
148,1.0000
149,1.0000
150,1.0000
151,1.0000
152,1.0000
153,1.0000
154,1.0000
155,1.0000
156,1.0000
157,1.0000
158,1.0000
159,1.0000
160,1.0000
161,1.0000
162,1.0000
163,1.0000
164,1.0000
165,1.0000
166,1.0000
167,1.0000
168,1.0000
169,1.0000
170,1.0000
171,1.0000
172,1.0000
173,1.0000
174,1.0000
175,1.0000
176,1.0000
177,1.0000
178,1.0000
179,1.0000
180,1.0000
181,1.0000
182,1.0000
183,1.0000
184,1.0000
185,1.0000
186,1.0000
187,1.0000
188,1.0000
189,1.0000
190,1.0000
191,1.0000
192,1.0000
193,1.0000
194,1.0000
195,1.0000
196,1.0000
197,1.0000
198,1.0000
199,1.0000
200,1.0000
201,1.0000
202,1.0000
203,1.0000
204,1.0000
205,1.0000
206,1.0000
207,1.0000
208,1.0000
209,1.0000
210,1.0000
211,1.0000
212,1.0000
213,1.0000
214,1.0000
215,1.0000
216,1.0000
217,1.0000
218,1.0000
219,1.0000
220,1.0000
221,1.0000
222,1.0000
223,1.0000
224,1.0000
225,1.0000
226,1.0000
227,1.0000
228,1.0000
229,1.0000
230,1.0000
231,1.0000
232,1.0000
233,1.0000
234,1.0000
235,1.0000
236,1.0000
237,1.0000
238,1.0000
239,1.0000
240,1.0000
241,1.0000
242,1.0000
243,1.0000
244,1.0000
245,1.0000
246,1.0000
247,1.0000
248,1.0000
249,1.0000
250,1.0000
251,1.0000
252,1.0000
253,1.0000
254,1.0000
255,1.0000
256,1.0000
257,1.0000
258,1.0000
259,1.0000
260,1.0000
261,1.0000
262,1.0000
263,1.0000
264,1.0000
265,1.0000
266,1.0000
267,1.0000
268,1.0000
269,1.0000
270,1.0000
271,1.0000
272,1.0000
273,1.0000
274,1.0000
275,1.0000
276,1.0000
277,1.0000
278,1.0000
279,1.0000
280,1.0000
281,1.0000
282,1.0000
283,1.0000
284,1.0000
285,1.0000
286,1.0000
287,1.0000
288,1.0000
289,1.0000
290,1.0000
291,1.1481
292,1.6667
293,1.6667
294,1.6667
295,1.6667
296,1.6667
297,1.6667
298,1.6667
299,1.6667
300,1.6667
301,1.6667
302,1.6667
303,1.6667
304,1.6667
305,1.6667
306,1.6667
307,1.6667
308,1.6667
309,1.6667
310,1.6667
311,1.6667
312,1.6667
313,1.6667
314,1.6667
315,1.6667
316,1.6667
317,1.6667
318,1.6667
319,1.6667
320,1.6667
321,1.6667
322,1.6667
323,1.6667
324,1.6667
325,1.6667
326,1.6667
327,1.6667
328,1.6667
329,1.6667
330,1.6667
331,1.6667
332,1.6667
333,1.6667
334,1.6667
335,1.6667
336,1.6667
337,1.6667
338,1.6667
339,1.6667
340,1.6667
341,1.6667
342,1.6667
343,1.6667
344,1.6667
345,1.6667
346,1.6667
347,1.6667
348,1.6667
349,1.6667
350,1.6667
351,1.6667
352,1.6667
353,1.6667
354,1.6667
355,1.6667
356,1.6667
357,1.6667
358,1.6667
359,1.6667
360,1.6667
361,1.6667
362,1.6667
363,1.6667
364,1.6667
365,1.6667
366,1.6667
367,1.6667
368,1.6667
369,1.6667
370,1.6667
371,1.6667
372,1.7778
373,1.8148
374,1.8148
375,1.8148
376,1.8148
377,1.7778
378,1.8519
379,1.9630
380,2.5926
381,2.5556
382,2.5185
383,2.5185
384,2.5185
385,2.5185
386,2.5185
387,2.4074
388,1.1111
389,1.1111
390,1.1111
391,1.1111
392,1.2222
393,1.2222
394,1.2222
395,1.2222
396,1.0000
397,1.0000
398,1.0000
399,1.0000
400,1.0000
401,1.0000
402,1.0000
403,1.0000
404,1.0000
405,1.0000
406,1.0000
407,1.0000
408,1.0000
409,1.0000
410,1.0000
411,1.0000
412,1.0000
413,1.0000
414,1.0000
415,1.0000
416,1.0000
417,1.0000
418,1.0000
419,1.0000
420,1.0000
421,1.0000
422,1.0000
423,1.0000
424,1.0000
425,1.0000
426,1.0000
427,1.0000
428,1.0000
429,1.0000
430,1.0000
431,1.0000
432,1.0000
433,1.0000
434,1.0000
435,1.0000
436,0.8148
437,0.8148
438,0.8148
439,0.8148
440,0.8148
441,0.8148
442,0.8148
443,0.8148
444,1.1852
445,1.1852
446,1.1852
447,1.1852
448,1.1852
449,1.1852
450,1.2222
451,1.2222
452,1.7407
453,1.9630
454,2.1481
455,2.7778
456,3.1481
457,3.3704
458,3.7407
459,4.0370
460,4.3333
461,4.5926
462,4.7037
463,4.8889
464,5.0370
465,5.0741
466,5.7407
467,5.7037
468,5.1852
469,5.7778
470,6.7407
471,7.7778
472,8.7778
473,9.4444
